map_id,name,description,rank_level_brackets,category_weights,value_brackets,extra_params
2308,医疗用品集装箱,箱体布满警示标志，内有专业的温控架构。尽管系统已失效，但严谨的布局仍暗示着内容物的特殊性。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,100],[104,100],[105,50],[106,50],[107,200],[108,150],[109,500],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,2],[10000,20000,5],[20001,50000,200],[50001,100000,100]]","[10,1,100,1,1000,20,10000,200,100000,10]"
2309,军用物资集装箱,文件显示它属于一个已注销的实体。箱内是整齐的标准化储藏箱，喷印着冷峻的行业代码与规格标识。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,100],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,500],[206,50],[207,100],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,2],[10000,20000,5],[20001,50000,200],[50001,100000,100]]","[10,1,100,1,1000,20,10000,200,100000,10]"
2310,潮牌集装箱,箱内充斥着崭新的工业塑料与电子元件气息，货物被防护材料包裹，是一个未被激活的科技空间。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,500],[103,100],[104,100],[105,500],[106,300],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,2],[10000,20000,5],[20001,50000,200],[50001,100000,100]]","[10,1,100,1,1000,20,10000,200,100000,10]"
2401,未知别墅,前任房主身份成谜，离去匆忙。别墅内的物品从日常起居到个人收藏都原封不动，像一个突然凝固的时间胶囊，充满未知。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,100],[204,100],[205,50],[206,500],[207,50],[208,50],[209,300],[301,250]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
2402,设计师居所,这位别墅主人是位品味独到的收藏家。屋内充斥着未拆标签的家具样品和定制时装，整个空间宛如一个私人展示厅。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,500],[103,150],[104,100],[105,500],[106,500],[107,200],[108,150],[109,50],[110,150],[201,100],[202,500],[203,50],[204,100],[205,50],[206,50],[207,50],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
2403,科学家居所,原主人是位低调的技术极客。车库经过改造，书房服务器指示灯微亮，地下室里锁着的，是他最硬核的“玩具”与收藏。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,500],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,50],[204,100],[205,1000],[206,50],[207,50],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
2404,养生学家居所,别墅拥有巨大的专业厨房和恒温酒窖，同时还有一个设备齐全的私人理疗室，空气中混合着香料与草本的复杂气味。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,100],[107,200],[108,150],[109,500],[110,150],[201,100],[202,200],[203,500],[204,100],[205,50],[206,50],[207,50],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
2405,望族居所,一个老钱家族的夏日别墅。书房里是沉重的橡木书柜，女主人的梳妆台抽屉未锁，家族的历史与财富被不经意地留在了这里。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,500],[102,500],[103,150],[104,100],[105,50],[106,100],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,500],[207,500],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
2406,学者居所,原主人是位离群索居的教授。整座别墅几乎被书架填满，手稿和卷轴从书房蔓延到客厅。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,500],[207,150],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
2407,私人金库,这栋别墅的装修极致简约，却配有远超寻常的安防系统。主卧密室的门虚掩着，里面是大小不一的特制保险箱。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,500],[103,150],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
2408,奢华养老院,别墅被改造得明亮整洁，拥有专业的空气过滤系统。一个房间里存放着未带走的医疗设备和小型低温冷藏柜。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,50],[107,200],[108,150],[109,500],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
2409,末日庇护所,原主人有极强的安全意识。别墅结构经过特殊加固，地下避难所里存放着一些标有特殊代码的、需要权限才能开启的密封箱。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,500],[206,50],[207,100],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
2410,极客改造屋,这里是科技宅的天堂。从顶级的影音室到满墙的游戏主机，每一个房间都为了实现数字时代的终极娱乐体验而设计。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,500],[103,150],[104,100],[105,500],[106,300],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
2501,未知残骸,这艘船的国籍与年代已不可考，残骸由多艘沉船堆积而成。打捞出的密封舱内容物极其混杂，是深海真正的盲盒。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,100],[204,100],[205,50],[206,500],[207,50],[208,50],[209,300],[301,250]]","[[2001,5000,1],[5001,10000,1],[10000,20000,1],[20001,50000,1],[50001,100000,50],[100001,200000,300],[200001,300000,200]]","[10,1,100,1,1000,10,10000,100,100000,30]"
2502,​远洋客轮舱房​,来自一艘触礁沉没的豪华邮轮。此密封舱可能是头等舱套房或奢侈品商店的库房，里面封存着上一个时代的流行与奢华。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,500],[103,150],[104,100],[105,500],[106,500],[107,200],[108,150],[109,50],[110,150],[201,100],[202,500],[203,50],[204,100],[205,50],[206,50],[207,50],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,1],[20001,50000,1],[50001,100000,50],[100001,200000,300],[200001,300000,200]]","[10,1,100,1,1000,10,10000,100,100000,30]"
2503,​军用舰艇保险库​,来自一艘因冲突沉没的军用舰艇。舱体坚固异常，内部可能封存着舰载设备的备用零件、通讯器材或舰员的重要私人物品。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,500],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,50],[204,100],[205,1000],[206,50],[207,50],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,1],[20001,50000,1],[50001,100000,50],[100001,200000,300],[200001,300000,200]]","[10,1,100,1,1000,10,10000,100,100000,30]"
2504,​冷链货船隔离舱​,一艘专门运输特殊货物的货轮。此舱室具有保温与密封特性，里面或许保存着为特定目的地准备的给养或药剂，状态成谜。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,100],[107,200],[108,150],[109,500],[110,150],[201,100],[202,200],[203,500],[204,100],[205,50],[206,50],[207,50],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,1],[20001,50000,1],[50001,100000,50],[100001,200000,300],[200001,300000,200]]","[10,1,100,1,1000,10,10000,100,100000,30]"
2505,​殖民商船宝库​,来自大航海时代的失落商船。此舱门被贝类紧紧包裹，里面木箱的轮廓依稀可辨，可能装着改变贸易格局的“白色黄金”。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,500],[102,500],[103,150],[104,100],[105,50],[106,100],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,500],[207,500],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,1],[20001,50000,1],[50001,100000,50],[100001,200000,300],[200001,300000,200]]","[10,1,100,1,1000,10,10000,100,100000,30]"
2506,​探险家座舰资料库​,属于一支传奇的极地探险队。此防水舱专门用于存放航行日志、珍贵海图与考古拓片，是知识探险家梦寐以求的宝藏。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,500],[207,150],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,1],[20001,50000,1],[50001,100000,50],[100001,200000,300],[200001,300000,200]]","[10,1,100,1,1000,10,10000,100,100000,30]"
2507,​皇家御用货舱​,沉船档案显示它与某位显赫人物密切相关。此舱室规格极高，里面特制的箱子内，或许是为进贡而准备的稀有矿物与瑰宝。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,500],[103,150],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,1],[20001,50000,1],[50001,100000,50],[100001,200000,300],[200001,300000,200]]","[10,1,100,1,1000,10,10000,100,100000,30]"
2508,​生物实验室样本库​,一艘具有科研背景的船只。此舱室标有生物危害标志，内部有严格的固定架，似乎用来保存某种特殊的有机样本。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,50],[107,200],[108,150],[109,500],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,1],[20001,50000,1],[50001,100000,50],[100001,200000,300],[200001,300000,200]]","[10,1,100,1,1000,10,10000,100,100000,30]"
2509,​私掠船军火舱​,一艘身份暧昧的武装船只的弹药库。舱内物品被妥善防水处理，主要是那个时代的标准制式装备，但或许有特例。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,500],[206,50],[207,100],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,1],[20001,50000,1],[50001,100000,50],[100001,200000,300],[200001,300000,200]]","[10,1,100,1,1000,10,10000,100,100000,30]"
2510,​现代货轮娱乐库​,一艘近些年沉没的大型集装箱船。此密封舱内是运往电子市场的“新潮玩具”，包装完好，仿佛时间在此停滞。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,500],[103,150],[104,100],[105,500],[106,300],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,1],[20001,50000,1],[50001,100000,50],[100001,200000,300],[200001,300000,200]]","[10,1,100,1,1000,10,10000,100,100000,30]"
4401,未知别墅,前任房主身份成谜，离去匆忙。别墅内的物品从日常起居到个人收藏都原封不动，像一个突然凝固的时间胶囊，充满未知。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,100],[204,100],[205,50],[206,500],[207,50],[208,50],[209,300],[301,250]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
4402,设计师居所,这位别墅主人是位品味独到的收藏家。屋内充斥着未拆标签的家具样品和定制时装，整个空间宛如一个私人展示厅。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,500],[103,150],[104,100],[105,500],[106,500],[107,200],[108,150],[109,50],[110,150],[201,100],[202,500],[203,50],[204,100],[205,50],[206,50],[207,50],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
4403,科学家居所,原主人是位低调的技术极客。车库经过改造，书房服务器指示灯微亮，地下室里锁着的，是他最硬核的“玩具”与收藏。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,500],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,50],[204,100],[205,1000],[206,50],[207,50],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
4404,养生学家居所,别墅拥有巨大的专业厨房和恒温酒窖，同时还有一个设备齐全的私人理疗室，空气中混合着香料与草本的复杂气味。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,100],[107,200],[108,150],[109,500],[110,150],[201,100],[202,200],[203,500],[204,100],[205,50],[206,50],[207,50],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
4405,望族居所,一个老钱家族的夏日别墅。书房里是沉重的橡木书柜，女主人的梳妆台抽屉未锁，家族的历史与财富被不经意地留在了这里。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,500],[102,500],[103,150],[104,100],[105,50],[106,100],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,500],[207,500],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
4406,学者居所,原主人是位离群索居的教授。整座别墅几乎被书架填满，手稿和卷轴从书房蔓延到客厅。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,50],[103,150],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,500],[207,150],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
4407,私人金库,这栋别墅的装修极致简约，却配有远超寻常的安防系统。主卧密室的门虚掩着，里面是大小不一的特制保险箱。,"[[11,15,1000],[16,20,1000],[21,25,50],[26,30,50]]","[[101,50],[102,500],[103,150],[104,100],[105,50],[106,50],[107,200],[108,150],[109,50],[110,150],[201,100],[202,200],[203,150],[204,100],[205,50],[206,50],[207,100],[208,50],[209,300],[301,150]]","[[2001,5000,1],[5001,10000,1],[10000,20000,2],[20001,50000,5],[50001,100000,200],[100001,200000,100]]","[10,1,100,1,1000,10,10000,200,100000,10]"
