id,col_1,col_2,s_map_name,s_map_logo,s_map_togname,s_map_desc,parent_map_id,is_visiable,map_group,map_income,map_cell,currency_cost,item_cost,map_time,required_items,special_output_items,drop_group_id,bidder_number,auction_rounds_rate,map_random_skill,map_resource,tap_up
2307,奢华集装箱,外观普通的集装箱内藏着坚实的保密箱，分量惊人，静谧中透着一种不言自明的贵重感。,bid_map_N_2307,ui_map_icon_area_19,bid_map_N_2307,bid_map_D_2307,103,1,[[]],ui_value_medium ,20,"[1,1,5000]","[[1,104,1]]","[50,50,50,50,50]","[[1,1,500000]]",[[]],"[9999,2307,18,36]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,103]",iconmap_19,0
2308,医疗用品集装箱,箱体布满警示标志，内有专业的温控架构。尽管系统已失效，但严谨的布局仍暗示着内容物的特殊性。,bid_map_N_2308,ui_map_icon_area_20,bid_map_N_2308,bid_map_D_2308,103,1,[[]],ui_value_medium ,20,"[1,1,5000]","[[1,104,1]]","[50,50,50,50,50]","[[1,1,500000]]",[[]],"[9999,2308,18,36]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,103]",iconmap_20,0
2309,军用物资集装箱,文件显示它属于一个已注销的实体。箱内是整齐的标准化储藏箱，喷印着冷峻的行业代码与规格标识。,bid_map_N_2309,ui_map_icon_area_21,bid_map_N_2309,bid_map_D_2309,103,1,[[]],ui_value_medium ,20,"[1,1,5000]","[[1,104,1]]","[50,50,50,50,50]","[[1,1,500000]]",[[]],"[9999,2309,18,36]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,103]",iconmap_21,0
2310,潮牌集装箱,箱内充斥着崭新的工业塑料与电子元件气息，货物被防护材料包裹，是一个未被激活的科技空间。,bid_map_N_2310,ui_map_icon_area_22,bid_map_N_2310,bid_map_D_2310,103,1,[[]],ui_value_medium ,20,"[1,1,5000]","[[1,104,1]]","[50,50,50,50,50]","[[1,1,500000]]",[[]],"[9999,2310,18,36]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,103]",iconmap_22,0
2401,未知别墅,前任房主身份成谜，离去匆忙。别墅内的物品从日常起居到个人收藏都原封不动，像一个突然凝固的时间胶囊，充满未知。,bid_map_N_2401,ui_map_icon_area_23,bid_map_N_2401,bid_map_D_2401,104,1,"[[2401,100],[2402,20],[2403,20],[2404,20],[2405,20],[2406,20],[2407,20],[2408,20],[2409,20],[2410,20]]",ui_value_higher,25,"[1,1,10000]",[[]],"[50,50,50,50,50]","[[1,1,2000000]]",[[]],"[9999,2401,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_23,0
2402,设计师居所,这位别墅主人是位品味独到的收藏家。屋内充斥着未拆标签的家具样品和定制时装，整个空间宛如一个私人展示厅。,bid_map_N_2402,ui_map_icon_area_24,bid_map_N_2402,bid_map_D_2402,104,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[50,50,50,50,50]","[[1,1,2000000]]",[[]],"[9999,2402,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_24,0
2403,科学家居所,原主人是位低调的技术极客。车库经过改造，书房服务器指示灯微亮，地下室里锁着的，是他最硬核的“玩具”与收藏。,bid_map_N_2403,ui_map_icon_area_25,bid_map_N_2403,bid_map_D_2403,104,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[50,50,50,50,50]","[[1,1,2000000]]",[[]],"[9999,2403,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_25,0
2404,养生学家居所,别墅拥有巨大的专业厨房和恒温酒窖，同时还有一个设备齐全的私人理疗室，空气中混合着香料与草本的复杂气味。,bid_map_N_2404,ui_map_icon_area_26,bid_map_N_2404,bid_map_D_2404,104,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[50,50,50,50,50]","[[1,1,2000000]]",[[]],"[9999,2404,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_26,0
2405,望族居所,一个老钱家族的夏日别墅。书房里是沉重的橡木书柜，女主人的梳妆台抽屉未锁，家族的历史与财富被不经意地留在了这里。,bid_map_N_2405,ui_map_icon_area_27,bid_map_N_2405,bid_map_D_2405,104,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[50,50,50,50,50]","[[1,1,2000000]]",[[]],"[9999,2405,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_27,0
2406,学者居所,原主人是位离群索居的教授。整座别墅几乎被书架填满，手稿和卷轴从书房蔓延到客厅。,bid_map_N_2406,ui_map_icon_area_28,bid_map_N_2406,bid_map_D_2406,104,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[50,50,50,50,50]","[[1,1,2000000]]",[[]],"[9999,2406,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_28,0
2407,私人金库,这栋别墅的装修极致简约，却配有远超寻常的安防系统。主卧密室的门虚掩着，里面是大小不一的特制保险箱。,bid_map_N_2407,ui_map_icon_area_29,bid_map_N_2407,bid_map_D_2407,104,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[50,50,50,50,50]","[[1,1,2000000]]",[[]],"[9999,2407,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_29,0
2408,奢华养老院,别墅被改造得明亮整洁，拥有专业的空气过滤系统。一个房间里存放着未带走的医疗设备和小型低温冷藏柜。,bid_map_N_2408,ui_map_icon_area_30,bid_map_N_2408,bid_map_D_2408,104,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[50,50,50,50,50]","[[1,1,2000000]]",[[]],"[9999,2408,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_30,0
2409,末日庇护所,原主人有极强的安全意识。别墅结构经过特殊加固，地下避难所里存放着一些标有特殊代码的、需要权限才能开启的密封箱。,bid_map_N_2409,ui_map_icon_area_31,bid_map_N_2409,bid_map_D_2409,104,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[50,50,50,50,50]","[[1,1,2000000]]",[[]],"[9999,2409,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_31,0
2410,极客改造屋,这里是科技宅的天堂。从顶级的影音室到满墙的游戏主机，每一个房间都为了实现数字时代的终极娱乐体验而设计。,bid_map_N_2410,ui_map_icon_area_32,bid_map_N_2410,bid_map_D_2410,104,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[50,50,50,50,50]","[[1,1,2000000]]",[[]],"[9999,2410,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_32,0
2501,未知残骸,这艘船的国籍与年代已不可考，残骸由多艘沉船堆积而成。打捞出的密封舱内容物极其混杂，是深海真正的盲盒。,bid_map_N_2501,ui_map_icon_area_33,bid_map_N_2501,bid_map_D_2501,105,1,"[[2501,100],[2502,20],[2503,20],[2504,20],[2505,20],[2506,20],[2507,20],[2508,20],[2509,20],[2510,20]]",ui_value_high,30,"[1,1,25000]",[[]],"[50,50,50,50,50]","[[1,1,5000000]]",[[]],"[9999,2501,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_33,0
2502,​远洋客轮舱房​,来自一艘触礁沉没的豪华邮轮。此密封舱可能是头等舱套房或奢侈品商店的库房，里面封存着上一个时代的流行与奢华。,bid_map_N_2502,ui_map_icon_area_34,bid_map_N_2502,bid_map_D_2502,105,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[50,50,50,50,50]","[[1,1,5000000]]",[[]],"[9999,2502,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_34,0
2503,​军用舰艇保险库​,来自一艘因冲突沉没的军用舰艇。舱体坚固异常，内部可能封存着舰载设备的备用零件、通讯器材或舰员的重要私人物品。,bid_map_N_2503,ui_map_icon_area_35,bid_map_N_2503,bid_map_D_2503,105,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[50,50,50,50,50]","[[1,1,5000000]]",[[]],"[9999,2503,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_35,0
2504,​冷链货船隔离舱​,一艘专门运输特殊货物的货轮。此舱室具有保温与密封特性，里面或许保存着为特定目的地准备的给养或药剂，状态成谜。,bid_map_N_2504,ui_map_icon_area_36,bid_map_N_2504,bid_map_D_2504,105,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[50,50,50,50,50]","[[1,1,5000000]]",[[]],"[9999,2504,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_36,0
2505,​殖民商船宝库​,来自大航海时代的失落商船。此舱门被贝类紧紧包裹，里面木箱的轮廓依稀可辨，可能装着改变贸易格局的“白色黄金”。,bid_map_N_2505,ui_map_icon_area_37,bid_map_N_2505,bid_map_D_2505,105,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[50,50,50,50,50]","[[1,1,5000000]]",[[]],"[9999,2505,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_37,0
2506,​探险家座舰资料库​,属于一支传奇的极地探险队。此防水舱专门用于存放航行日志、珍贵海图与考古拓片，是知识探险家梦寐以求的宝藏。,bid_map_N_2506,ui_map_icon_area_38,bid_map_N_2506,bid_map_D_2506,105,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[50,50,50,50,50]","[[1,1,5000000]]",[[]],"[9999,2506,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_38,0
2507,​皇家御用货舱​,沉船档案显示它与某位显赫人物密切相关。此舱室规格极高，里面特制的箱子内，或许是为进贡而准备的稀有矿物与瑰宝。,bid_map_N_2507,ui_map_icon_area_39,bid_map_N_2507,bid_map_D_2507,105,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[50,50,50,50,50]","[[1,1,5000000]]",[[]],"[9999,2507,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_39,0
2508,​生物实验室样本库​,一艘具有科研背景的船只。此舱室标有生物危害标志，内部有严格的固定架，似乎用来保存某种特殊的有机样本。,bid_map_N_2508,ui_map_icon_area_40,bid_map_N_2508,bid_map_D_2508,105,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[50,50,50,50,50]","[[1,1,5000000]]",[[]],"[9999,2508,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_40,0
2509,​私掠船军火舱​,一艘身份暧昧的武装船只的弹药库。舱内物品被妥善防水处理，主要是那个时代的标准制式装备，但或许有特例。,bid_map_N_2509,ui_map_icon_area_41,bid_map_N_2509,bid_map_D_2509,105,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[50,50,50,50,50]","[[1,1,5000000]]",[[]],"[9999,2509,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_41,0
2510,​现代货轮娱乐库​,一艘近些年沉没的大型集装箱船。此密封舱内是运往电子市场的“新潮玩具”，包装完好，仿佛时间在此停滞。,bid_map_N_2510,ui_map_icon_area_42,bid_map_N_2510,bid_map_D_2510,105,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[50,50,50,50,50]","[[1,1,5000000]]",[[]],"[9999,2510,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_42,0
4401,未知别墅,前任房主身份成谜，离去匆忙。别墅内的物品从日常起居到个人收藏都原封不动，像一个突然凝固的时间胶囊，充满未知。,bid_map_N_2401,ui_map_icon_area_23,bid_map_N_2401,bid_map_D_2401,304,1,"[[4401,100],[4402,20],[4403,20],[4404,20],[4405,20],[4406,20],[4407,20],[4408,20],[4409,20],[4410,20]]",ui_value_higher,25,"[1,1,10000]",[[]],"[60,60,60,60,60]","[[1,1,1000000]]",[[]],"[9999,2401,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_23,0
4402,设计师居所,这位别墅主人是位品味独到的收藏家。屋内充斥着未拆标签的家具样品和定制时装，整个空间宛如一个私人展示厅。,bid_map_N_2402,ui_map_icon_area_24,bid_map_N_2402,bid_map_D_2402,304,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[60,60,60,60,60]","[[1,1,1000000]]",[[]],"[9999,2402,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_24,0
4403,科学家居所,原主人是位低调的技术极客。车库经过改造，书房服务器指示灯微亮，地下室里锁着的，是他最硬核的“玩具”与收藏。,bid_map_N_2403,ui_map_icon_area_25,bid_map_N_2403,bid_map_D_2403,304,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[60,60,60,60,60]","[[1,1,1000000]]",[[]],"[9999,2403,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_25,0
4404,养生学家居所,别墅拥有巨大的专业厨房和恒温酒窖，同时还有一个设备齐全的私人理疗室，空气中混合着香料与草本的复杂气味。,bid_map_N_2404,ui_map_icon_area_26,bid_map_N_2404,bid_map_D_2404,304,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[60,60,60,60,60]","[[1,1,1000000]]",[[]],"[9999,2404,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_26,0
4405,望族居所,一个老钱家族的夏日别墅。书房里是沉重的橡木书柜，女主人的梳妆台抽屉未锁，家族的历史与财富被不经意地留在了这里。,bid_map_N_2405,ui_map_icon_area_27,bid_map_N_2405,bid_map_D_2405,304,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[60,60,60,60,60]","[[1,1,1000000]]",[[]],"[9999,2405,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_27,0
4406,学者居所,原主人是位离群索居的教授。整座别墅几乎被书架填满，手稿和卷轴从书房蔓延到客厅。,bid_map_N_2406,ui_map_icon_area_28,bid_map_N_2406,bid_map_D_2406,304,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[60,60,60,60,60]","[[1,1,1000000]]",[[]],"[9999,2406,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_28,0
4407,私人金库,这栋别墅的装修极致简约，却配有远超寻常的安防系统。主卧密室的门虚掩着，里面是大小不一的特制保险箱。,bid_map_N_2407,ui_map_icon_area_29,bid_map_N_2407,bid_map_D_2407,304,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[60,60,60,60,60]","[[1,1,1000000]]",[[]],"[9999,2407,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_29,0
4408,奢华养老院,别墅被改造得明亮整洁，拥有专业的空气过滤系统。一个房间里存放着未带走的医疗设备和小型低温冷藏柜。,bid_map_N_2408,ui_map_icon_area_30,bid_map_N_2408,bid_map_D_2408,304,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[60,60,60,60,60]","[[1,1,1000000]]",[[]],"[9999,2408,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_30,0
4409,末日庇护所,原主人有极强的安全意识。别墅结构经过特殊加固，地下避难所里存放着一些标有特殊代码的、需要权限才能开启的密封箱。,bid_map_N_2409,ui_map_icon_area_31,bid_map_N_2409,bid_map_D_2409,304,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[60,60,60,60,60]","[[1,1,1000000]]",[[]],"[9999,2409,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_31,0
4410,极客改造屋,这里是科技宅的天堂。从顶级的影音室到满墙的游戏主机，每一个房间都为了实现数字时代的终极娱乐体验而设计。,bid_map_N_2410,ui_map_icon_area_32,bid_map_N_2410,bid_map_D_2410,304,1,[[]],ui_value_higher,25,"[1,1,10000]","[[1,105,1]]","[60,60,60,60,60]","[[1,1,1000000]]",[[]],"[9999,2410,20,40]",4,"[2000,1600,1300,1100,0]","[103,0,103,0,0]",iconmap_32,0
4501,未知残骸,这艘船的国籍与年代已不可考，残骸由多艘沉船堆积而成。打捞出的密封舱内容物极其混杂，是深海真正的盲盒。,bid_map_N_2501,ui_map_icon_area_33,bid_map_N_2501,bid_map_D_2501,305,1,"[[4501,100],[4502,20],[4503,20],[4504,20],[4505,20],[4506,20],[4507,20],[4508,20],[4509,20],[4510,20]]",ui_value_high,30,"[1,1,25000]",[[]],"[60,60,60,60,60]","[[1,1,5000000]]",[[]],"[9999,2501,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_33,0
4502,​远洋客轮舱房​,来自一艘触礁沉没的豪华邮轮。此密封舱可能是头等舱套房或奢侈品商店的库房，里面封存着上一个时代的流行与奢华。,bid_map_N_2502,ui_map_icon_area_34,bid_map_N_2502,bid_map_D_2502,305,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[60,60,60,60,60]","[[1,1,5000000]]",[[]],"[9999,2502,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_34,0
4503,​军用舰艇保险库​,来自一艘因冲突沉没的军用舰艇。舱体坚固异常，内部可能封存着舰载设备的备用零件、通讯器材或舰员的重要私人物品。,bid_map_N_2503,ui_map_icon_area_35,bid_map_N_2503,bid_map_D_2503,305,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[60,60,60,60,60]","[[1,1,5000000]]",[[]],"[9999,2503,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_35,0
4504,​冷链货船隔离舱​,一艘专门运输特殊货物的货轮。此舱室具有保温与密封特性，里面或许保存着为特定目的地准备的给养或药剂，状态成谜。,bid_map_N_2504,ui_map_icon_area_36,bid_map_N_2504,bid_map_D_2504,305,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[60,60,60,60,60]","[[1,1,5000000]]",[[]],"[9999,2504,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_36,0
4505,​殖民商船宝库​,来自大航海时代的失落商船。此舱门被贝类紧紧包裹，里面木箱的轮廓依稀可辨，可能装着改变贸易格局的“白色黄金”。,bid_map_N_2505,ui_map_icon_area_37,bid_map_N_2505,bid_map_D_2505,305,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[60,60,60,60,60]","[[1,1,5000000]]",[[]],"[9999,2505,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_37,0
4506,​探险家座舰资料库​,属于一支传奇的极地探险队。此防水舱专门用于存放航行日志、珍贵海图与考古拓片，是知识探险家梦寐以求的宝藏。,bid_map_N_2506,ui_map_icon_area_38,bid_map_N_2506,bid_map_D_2506,305,1,[[]],ui_value_high,30,"[1,1,25000]","[[1,106,1]]","[60,60,60,60,60]","[[1,1,5000000]]",[[]],"[9999,2506,22,44]",4,"[2000,1600,1300,1100,0]","[103,0,0,0,0]",iconmap_38,0
