Id,Chinese,Chinese_Temp,English,Traditional,Spanish,Russian,Japenese,Thai,Italian,Portuguese,Vietnam,Korean,German,French,Indonesia
area_name_317,海鬣蜥,海鬣蜥,Marine Iguana,海鬣蜥,Iguana marina,Морская игуана,ウミイグアナ,อิกัวนาทะเล,Iguana marina,Iguana Marinha,Cự Đà Biển,바다이구아나,Meerechse,Iguane marin,Iguana Laut
area_name_4,非洲,不周山,African,非洲,África,Африка,アフリカ,แอฟริกา,Africa,África,Châu Phi,아프리카,Afrika,Afrique,Afrika
area_name_401,非洲象,非洲象,African elephant,非洲象,Elefante africano,Африканский слон,アフリカゾウ,ช้างแอฟริกา,Elefante africano,Elefante Africano,Voi Châu Phi,아프리카코끼리,Afrikanischer Elefant,Éléphant d'Afrique,Gajah Afrika
area_name_402,网纹长颈鹿,长颈鹿,Reticulated Giraffe,網紋長頸鹿,Jirafa somalí,Жираф,アミメキリン,ยีราฟลายร่างแห,Giraffa reticolata,Girafa Reticulada,Hươu Cao Cổ Lưới,그물무늬기린,Reticulata-Giraffe,Girafe réticulée,Jerapah Somalia
area_name_403,黑犀牛,黑犀牛,Black Rhinoceros,黑犀牛,Rinoceronte negro,Чёрный носорог,クロサイ,แรดดำ,Rinoceronte nero,Rinoceronte Negro,Tê Giác Đen,검은코뿔소,Schwarzes Nashorn,Rhinocéros noir,Badak Hitam
area_name_404,低地大猩猩,大猩猩,Lowland Gorilla,低地大猩猩,Gorila de las tierras bajas,Равнинная горилла,ニシローランドゴリラ,กอริลลาที่ราบต่ำตะวันตก,Gorilla di pianura,Gorila Ocidental das Terras Baixas,Khỉ Đột Đồng Bằng,서부저지고릴라,Westlicher Gorilla,Gorille des plaines,Gorila Dataran Rendah Barat
area_name_405,霍加狓,霍加狓,Okapi,霍加狓,Okapi,Окапи,オカピ,โอคาพี,Okapi,Ocapi,Okapi,오카피,Waldgiraffe,Okapi,Okapi
area_name_406,倭河马,倭河马,Pygmy Hippopotamus,倭河馬,Hipopótamo pigmeo,Карликовый бегемот,コビトカバ,ฮิปโปแคระ,Ippopotamo pigmeo,Hipopótamo Pigmeu,Hà Mã Lùn,피그미하마,Kleines Nilpferd,Hippopotame pygmée,Kuda Nil Kerdil
area_name_407,非洲灰鹦鹉,灰鹦鹉,African Grey Parrot,非洲灰鸚鵡,Loro gris africano,Жако,ヨウム,นกแก้วเทาแอฟริกัน,Pappagallo cenerino,Papagaio Cinzento,Vẹt Xám Châu Phi,회색앵무,Afrikanischer Graupapagei,Perroquet jaco,Nuri Abu-Abu Afrika
area_name_408,曼巴蛇,曼巴蛇,Mamba,曼巴蛇,Mamba,Мамба,ブラックマンバ,งูแมมบา,Mamba,Mamba,Rắn Mamba,맘바,Mamba,Mamba,Ular Mamba
area_name_409,蛇鹫,蛇鹫,Snake Eagle,蛇鷲,Águila serpentaria,Птица-секретарь,ヘビクイワシ,นกเลขานุการ,Serpentario,Serpentário,Chim Thư Ký,뱀잡이수리,Sekretärvogel,Messager sagittaire,Burung Sekretaris
area_name_410,鸵鸟,鸵鸟,Ostrich,鴕鳥,Avestruz,Африканский страус,ダチョウ,นกกระจอกเทศ,Struzzo,Avestruz Comum,Đà Điểu Châu Phi,타조,Strauß,Autruche,Burung Unta
area_name_411,火烈鸟,火烈鸟,Flamingo,火烈鳥,Flamenco,Фламинго,フラミンゴ,นกฟลามิงโก,Fenicottero,Flamingo,Hồng Hạc,홍학,Flamingo,Flamant rose,Flamingo
area_name_412,耳廓狐,耳廓狐,Fennec Fox,耳廓狐,Zorro fénec,Фенек,フェネック,หมาจิ้งจอกเฟนเนก,Fennec,Feneco,Cáo Tai To,페넥여우,Wüstenfuchs,Fennec,Rubah Fennec
area_name_413,斑鬣狗,斑鬣狗,Spotted Hyenas,斑鬣狗,Hiena manchada,Пятнистая гиена,ブチハイエナ,ไฮยีนาลายจุด,Iena maculata,Hiena Malhada,Linh Cẩu Đốm,점박이하이에나,Fleckenhyäne,Hyène tachetée,Dubuk
area_name_414,猫鼬,猫鼬,Mongoose,貓鼬,Suricato,Мангуст,ミーアキャット,เมียร์แคต,Suricato,Suricata,Cầy Meerkat,몽구스,Mungo,Mangouste,Garangan
area_name_415,非洲野犬,野犬,African Wild Dog,非洲野犬,Perro salvaje africano,Гиеновидная собака,リカオン,หมาป่าแอฟริกา,Licaone,Mabeco,Chó Hoang Châu Phi,아프리카들개,Afrikanischer Wildhund,Lycaon,Iganyana
area_name_416,土豚,土豚,Aardvark,土豚,Cerdo hormiguero,Трубкозуб,ツチブタ,อาร์ดวาร์ก,Oritteropo,Porco-da-Terra,Lợn Đất,땅돼지,Erdferkel,Oryctérope,Babi Tanah
area_name_417,德氏弯角羚羊,弯角羚羊,Scimitar Oryx,德氏彎角羚羊,Antílope bongo,Западная канна,ジャイアントイランド,ออริกซ์เขาดาบ,Antilope derbiana,Elande Gigante,Linh Dương Sừng Xoắn,자이언트일런드,Mähnengazelle,Éland de Derby,Oriks Simitar
area_name_5,欧洲,亚特兰蒂斯,Europe,歐洲,Europa,Европа,ヨーロッパ,ยุโรป,Europa,Europa,Châu Âu,유럽,Europa,Europe,Eropa
area_name_501,驼鹿,驼鹿,Moose,駝鹿,Alce,Европейский лось,ヘラジカ,กวางมูส,Alce,Alce,Nai Sừng Tấm,말코손바닥사슴,Elch,Élan,Rusa Besar
area_name_502,棕熊,棕熊,Brown Bear,棕熊,Oso pardo,Бурый медведь,ヒグマ,หมีสีน้ำตาล,Orso bruno,Urso Pardo,Gấu Nâu,불곰,Braunbär,Ours brun,Beruang Cokelat
area_name_503,驯鹿,驯鹿,Reindeer,馴鹿,Reno,Северный олень,トナカイ,กวางเรนเดียร์,Renna,Rena,Tuần Lộc,순록,Rentier,Renne,Rusa Kutub
area_name_504,红狐,红狐,Red Fox,紅狐,Zorro rojo,Лисица обыкновенная,アカギツネ,หมาจิ้งจอกแดง,Volpe rossa,Raposa Vermelha,Cáo Đỏ,붉은여우,Rotfuchs,Renard roux,Rubah Merah
area_name_505,欧亚狼,欧亚狼,Eurasian wolf,歐亞狼,Lobo euroasiático,Евразийский волк,ヨーロッパオオカミ,หมาป่ายูเรเซีย,Lupo comune,Lobo Europeu,Sói Xám Á Âu,유라시아늑대,Eurasienwolf,Loup eurasien,Serigala Eurasia
area_name_506,赤鹿,赤鹿,Red deer,赤鹿,Ciervo rojo,Благородный олень,アカシカ,กวางแดง,Cervo reale,Cervo,Hươu Đỏ,말사슴,Edler Hirsch,Cerf élaphe,Rusa Merah
area_name_507,欧亚獾,獾,European badger,歐亞獾,Tejón euroasiático,Барсук обыкновенный,ヨーロッパアナグマ,แบดเจอร์ยุโรป,Tasso europeo,Texugo Europeu,Lửng Châu Âu,오소리,Eurasischer Dachs,Blaireau européen,Luak Eurasia
area_name_508,白天鹅,白天鹅,Whooper Swan,白天鵝,Cisne blanco,Белый лебедь,ハクチョウ,หงส์ขาว,Cigno,Cisne Branco,Thiên Nga Trắng,백조,Weißer Schwan,Cygne,Angsa Putih
area_name_509,伊比利亚猞猁,猞猁,Iberian lynx,伊比利亞猞猁,Lince ibérico,Испанская рысь,イベリアオオヤマネコ,ลิงซ์ไอบีเรีย,Lince pardina,Lince Ibérico,Linh Miêu Iberia,이베리아스라소니,Spanischer Luchs,Lynx pardelle,Lynx Iberia
area_name_510,阿尔卑斯羱羊,羱羊,Alpine ibex,阿爾卑斯羱羊,Cabra montés alpina,Ибекс,アルプスアイベックス,แพะภูเขาแอลป์,Stambecco,Íbex,Dê Núi Alps,알파인아이벡스,Alpenbock,Bouquetin des Alpes,Ibex Alpen
area_name_511,意大利狼,意大利狼,Italian wolf,意大利狼,Lobo italiano,Итальянский волк,イタリアオオカミ,หมาป่าอิตาลี,Lupo appenninico,Lobo Italiano,Sói Ý,이탈리아늑대,Italienischer Wolf,Loup d'Italie,Serigala Italia
area_name_512,科西嘉野羊,野羊,Corsican wild sheep,科西嘉野羊,Muflón corso,Корсиканская овца,ムフロン,แกะมูฟลอน,Muflone europeo,Muflão,Cừu Hoang Corsica,유럽무플론,Korsisches Wildschaf,Mouflon corse,Kambing Korsika
area_name_513,野牛,野牛,Wild Bison,野牛,Bisonte europeo,Зубр,ヨーロッパバイソン,กระทิง,Bisonte europeo,Bisonte,Bò Rừng Châu Âu,들소,Bison,Bison,Bison
area_name_514,金雕,金雕,Golden Eagle,金雕,Águila real,Беркут,イヌワシ,นกอินทรีทอง,Aquila reale,Águia Real,Đại Bàng Vàng,검독수리,Goldadler,Aigle royal,Elang Emas
area_name_515,白鹳,白鹳,White Stork,白鸛,Cigüeña blanca,Белый аист,シュバシコウ,นกกระสาขาว,Cicogna bianca,Cegonha Branca,Cò Trắng,홍부리황새,Weißstorch,Cigogne blanche,Bangau Putih
area_name_6,大洋洲,少昊,Oceania,大洋洲,Oceanía,Океания,オセアニア,โอเชียเนีย,Oceania,Oceânia,Châu Đại Dương,오세아니아,Ozeanien,Océanie,Oseania
area_name_601,袋鼠,袋鼠,Kangaroo,袋鼠,Canguro,Исполинский кенгуру,カンガルー,จิงโจ้,Canguro,Canguru,Kangaroo,캥거루,Känguru,Kangourou,Kanguru
area_name_602,考拉,考拉,Koala,考拉,Koala,Коала,コアラ,โคอาลา,Koala,Coala,Gấu Koala,코알라,Koala,Koala,Koala
area_name_603,几维鸟,几维鸟,Kiwi,幾維鳥,Ave kiwi,Киви,キーウィ,นกกีวี,Kiwi,Quiuí,Chim Kiwi,키위새,Kiwi-Vogel,Kiwi,Kiwi
area_name_604,笑翠鸟,笑翠鸟,Laughing Kookaburra,笑翠鳥,Martín pescador risueño,Кукабарра,ワライカワセミ,นกคูกาบูราหัวเราะ,Kookaburra sghignazzante,Cucaburra-Risonha,Chim Bói Cá Cười,웃음물총새,Kookaburra,Martin-chasseur géant,Kukabura
area_name_605,针鼹,针鼹,Echidna,針鼴,Equidna,Ехидна,ハリモグラ,อิคิดนา,Echidna,Equidna,Thú Lông Nhím,가시두더지,Schnabeligel,Échidné,Nokdiak
area_name_7,南极,永冰境,Antarctica,南極,Antártida,Антарктида,南極,แอนตาร์กติกา,Antartide,Antártica,Nam Cực,남극,Antarktis,Antarctique,Antarktika
area_name_701,帝企鹅,帝企鹅,Emperor Penguin,帝企鵝,Pingüino emperador,Императорский пингвин,コウテイペンギン,เพนกวินจักรพรรดิ,Pinguino imperatore,Pinguim-Imperador,Cánh Cụt Hoàng Đế,황제펭귄,Kaiserpinguin,Manchot empereur,Penguin Kaisar
area_name_702,威德尔海豹,海豹,Wiedemann's Seal,威德爾海豹,Foca de Weddell,Тюлень Уэдделла,ウェッデルアザラシ,แมวน้ำเวดเดลล์,Foca di Weddell,Foca de Weddell,Hải Cẩu Weddell,웨들해물범,Weddellrobbe,Phoque de Weddell,Anjing Laut Weddell
area_name_703,南极海燕,海燕,Antarctic petrel,南極海燕,Petrel antártico,Антарктический буревестник,ユキドリ,นกนางแอ่นแอนตาร์กติก,Petrello antartico,Pardela-das-Neves,Hải Âu Nam Cực,남극풀마갈매기,Antarktischer Sturmvogel,Pétrel des neiges,Petrel Wilson
area_name_704,虎鲸,虎鲸,Killer whale,虎鯨,Orca,Косатка,シャチ,วาฬเพชฌฆาต,Orca,Orca,Cá Voi Sát Thủ,범고래,Orca,Orque,Paus Orca
area_name_705,蓝鲸,蓝鲸,Blue Whale,藍鯨,Ballena azul,Синий кит,シロナガスクジラ,วาฬสีน้ำเงิน,Balenottera azzurra,Baleia Azul,Cá Voi Xanh,대왕고래,Blauwal,Baleine bleue,Paus Biru
area_name_8,北极,极光境,Arctic,北極,Ártico,Арктика,北極,อาร์กติก,Artide,Ártico,Bắc Cực,북극,Arktis,Arctique,Arktik
area_name_801,北极熊,北极熊,Polar Bear,北極熊,Oso polar,Белый медведь,ホッキョクグマ,หมีขั้วโลก,Orso polare,Urso Polar,Gấu Bắc Cực,북극곰,Eisbär,Ours polaire,Beruang Kutub
area_name_802,北极狐,北极狐,Arctic Fox,北極狐,Zorro ártico,Песец,ホッキョクギツネ,สุนัขจิ้งจอกอาร์กติก,Volpe artica,Raposa do Ártico,Cáo Bắc Cực,북극여우,Arktisfuchs,Renard polaire,Rubah Arktik
area_name_803,北极狼,北极狼,Arctic wolf,北極狼,Lobo ártico,Арктический волк,ホッキョクオオカミ,หมาจิ้งจอกอาร์กติก,Lupo artico,Lobo do Ártico,Sói Bắc Cực,북극늑대,Arktischer Wolf,Loup arctique,Serigala Arktik
area_name_804,雪鸮,雪鸮,Snowy Owl,雪鴞,Búho nival,Белая сова,シロフクロウ,นกเค้าแมวหิมะ,Gufo delle nevi,Coruja-das-Neves,Cú Tuyết,흰올빼미,Schneeeule,Harfang des neiges,Burung Hantu Salju
area_name_805,独角鲸,独角鲸,Narwhal,獨角鯨,Narval,Нарвал,イッカク,วาฬนาร์วาล,Narvalo,Narval,Kỳ Lân Biển,외뿔고래,Narwal,Narval,Paus Bertanduk
Battle_Main,战斗界面,战斗界面,Battle Interface,戰鬥界面,Pantalla de batalla,Боевое меню,バトル画面,หน้าต่างต่อสู้,Interfaccia d'asta,Interface de Batalha,Giao diện Chiến Đấu,전투 화면,Kampfbildschirm,Interface de combat,Antarmuka Battle
battleroundstart,第<size=120>{0}</size>轮,第<size=120>{0}</size>轮,Round <size=120>{0}</size>,第<size=120>{0}</size>輪,Ronda <size=120>{0}</size>,Раунд <size=120>{0}</size>,<size=120>{0}</size>ラウンド目,รอบที่ <size=120>{0}</size>,<size=120>{0}</size>° round,Rodada Nº<size=120>{0}</size>,Vòng <size=120>{0}</size>,제<size=120>{0}</size> 라운드,Runde <size=120>{0}</size>,Tour <size=120>{0}</size>,Ronde <size=120>{0}</size>
BGM_101,法蒂玛,法蒂玛,Fatima,法蒂瑪,Fátima,Фатима,ファティマ,ฟาติมา,Fatima,Fátima,Fatima,파티마,Fatima,Fatima,Fatima
BGM_102,玉耳环,玉耳环,Jade Earrings,玉耳環,Aretes de jade,Нефритовые серьги,玉の耳飾り,ต่างหูหยกมรกต,Orecchini di giada,Brinco de Jade,Khuyên Tai Ngọc,옥 귀걸이,Jadeohrring,Boucles d'oreilles en jade,Anting Giok
